"Starost","Godina","Prostorna jedinica","Spol",Procjena stanovništva prema dobnim skupinama i spolu, po županijama, 30.06.
"Ukupno","2008","Zagrebaèka županija","Svega",314184
"Ukupno","2008","Zagrebaèka županija","Muškarci",151878
"Ukupno","2008","Zagrebaèka županija","Žene",162306
"Ukupno","2008","Krapinsko-zagorska županija","Svega",134333
"Ukupno","2008","Krapinsko-zagorska županija","Muškarci",65240
"Ukupno","2008","Krapinsko-zagorska županija","Žene",69093
"Ukupno","2008","Sisaèko-moslavaèka županija","Svega",179126
"Ukupno","2008","Sisaèko-moslavaèka županija","Muškarci",86571
"Ukupno","2008","Sisaèko-moslavaèka županija","Žene",92555
"Ukupno","2008","Karlovaèka županija","Svega",132673
"Ukupno","2008","Karlovaèka županija","Muškarci",64048
"Ukupno","2008","Karlovaèka županija","Žene",68625
"Ukupno","2008","Varaždinska županija","Svega",177268
"Ukupno","2008","Varaždinska županija","Muškarci",86191
"Ukupno","2008","Varaždinska županija","Žene",91077
"Ukupno","2008","Koprivnièko-križevaèka županija","Svega",117284
"Ukupno","2008","Koprivnièko-križevaèka županija","Muškarci",56634
"Ukupno","2008","Koprivnièko-križevaèka županija","Žene",60650
"Ukupno","2008","Bjelovarsko-bilogorska županija","Svega",122788
"Ukupno","2008","Bjelovarsko-bilogorska županija","Muškarci",59400
"Ukupno","2008","Bjelovarsko-bilogorska županija","Žene",63388
"Ukupno","2008","Primorsko-goranska županija","Svega",297676
"Ukupno","2008","Primorsko-goranska županija","Muškarci",144008
"Ukupno","2008","Primorsko-goranska županija","Žene",153668
"Ukupno","2008","Lièko-senjska županija","Svega",52950
"Ukupno","2008","Lièko-senjska županija","Muškarci",26317
"Ukupno","2008","Lièko-senjska županija","Žene",26633
"Ukupno","2008","Virovitièko-podravska županija","Svega",87196
"Ukupno","2008","Virovitièko-podravska županija","Muškarci",42080
"Ukupno","2008","Virovitièko-podravska županija","Žene",45116
"Ukupno","2008","Požeško-slavonska županija","Svega",80264
"Ukupno","2008","Požeško-slavonska županija","Muškarci",38823
"Ukupno","2008","Požeško-slavonska županija","Žene",41441
"Ukupno","2008","Brodsko-posavska županija","Svega",161605
"Ukupno","2008","Brodsko-posavska županija","Muškarci",78385
"Ukupno","2008","Brodsko-posavska županija","Žene",83220
"Ukupno","2008","Zadarska županija","Svega",167715
"Ukupno","2008","Zadarska županija","Muškarci",82370
"Ukupno","2008","Zadarska županija","Žene",85345
"Ukupno","2008","Osjeèko-baranjska županija","Svega",309155
"Ukupno","2008","Osjeèko-baranjska županija","Muškarci",148477
"Ukupno","2008","Osjeèko-baranjska županija","Žene",160678
"Ukupno","2008","Šibensko-kninska županija","Svega",111488
"Ukupno","2008","Šibensko-kninska županija","Muškarci",54582
"Ukupno","2008","Šibensko-kninska županija","Žene",56906
"Ukupno","2008","Vukovarsko-srijemska županija","Svega",183866
"Ukupno","2008","Vukovarsko-srijemska županija","Muškarci",88581
"Ukupno","2008","Vukovarsko-srijemska županija","Žene",95285
"Ukupno","2008","Splitsko-dalmatinska županija","Svega",454087
"Ukupno","2008","Splitsko-dalmatinska županija","Muškarci",221055
"Ukupno","2008","Splitsko-dalmatinska županija","Žene",233032
"Ukupno","2008","Istarska županija","Svega",207650
"Ukupno","2008","Istarska županija","Muškarci",101252
"Ukupno","2008","Istarska županija","Žene",106398
"Ukupno","2008","Dubrovaèko-neretvanska županija","Svega",121514
"Ukupno","2008","Dubrovaèko-neretvanska županija","Muškarci",59002
"Ukupno","2008","Dubrovaèko-neretvanska županija","Žene",62512
"Ukupno","2008","Meðimurska županija","Svega",113748
"Ukupno","2008","Meðimurska županija","Muškarci",55515
"Ukupno","2008","Meðimurska županija","Žene",58233
"Ukupno","2008","Grad Zagreb","Svega",783135
"Ukupno","2008","Grad Zagreb","Muškarci",366108
"Ukupno","2008","Grad Zagreb","Žene",417027
"Ukupno","2009","Zagrebaèka županija","Svega",315510
"Ukupno","2009","Zagrebaèka županija","Muškarci",152754
"Ukupno","2009","Zagrebaèka županija","Žene",162756
"Ukupno","2009","Krapinsko-zagorska županija","Svega",133964
"Ukupno","2009","Krapinsko-zagorska županija","Muškarci",65077
"Ukupno","2009","Krapinsko-zagorska županija","Žene",68887
"Ukupno","2009","Sisaèko-moslavaèka županija","Svega",176877
"Ukupno","2009","Sisaèko-moslavaèka županija","Muškarci",85622
"Ukupno","2009","Sisaèko-moslavaèka županija","Žene",91255
"Ukupno","2009","Karlovaèka županija","Svega",131461
"Ukupno","2009","Karlovaèka županija","Muškarci",63532
"Ukupno","2009","Karlovaèka županija","Žene",67929
"Ukupno","2009","Varaždinska županija","Svega",176686
"Ukupno","2009","Varaždinska županija","Muškarci",85869
"Ukupno","2009","Varaždinska županija","Žene",90817
"Ukupno","2009","Koprivnièko-križevaèka županija","Svega",116781
"Ukupno","2009","Koprivnièko-križevaèka županija","Muškarci",56421
"Ukupno","2009","Koprivnièko-križevaèka županija","Žene",60360
"Ukupno","2009","Bjelovarsko-bilogorska županija","Svega",121820
"Ukupno","2009","Bjelovarsko-bilogorska županija","Muškarci",58987
"Ukupno","2009","Bjelovarsko-bilogorska županija","Žene",62833
"Ukupno","2009","Primorsko-goranska županija","Svega",297280
"Ukupno","2009","Primorsko-goranska županija","Muškarci",143756
"Ukupno","2009","Primorsko-goranska županija","Žene",153524
"Ukupno","2009","Lièko-senjska županija","Svega",52286
"Ukupno","2009","Lièko-senjska županija","Muškarci",26009
"Ukupno","2009","Lièko-senjska županija","Žene",26277
"Ukupno","2009","Virovitièko-podravska županija","Svega",86522
"Ukupno","2009","Virovitièko-podravska županija","Muškarci",41785
"Ukupno","2009","Virovitièko-podravska županija","Žene",44737
"Ukupno","2009","Požeško-slavonska županija","Svega",79588
"Ukupno","2009","Požeško-slavonska županija","Muškarci",38559
"Ukupno","2009","Požeško-slavonska županija","Žene",41029
"Ukupno","2009","Brodsko-posavska županija","Svega",160680
"Ukupno","2009","Brodsko-posavska županija","Muškarci",77986
"Ukupno","2009","Brodsko-posavska županija","Žene",82694
"Ukupno","2009","Zadarska županija","Svega",168732
"Ukupno","2009","Zadarska županija","Muškarci",82892
"Ukupno","2009","Zadarska županija","Žene",85840
"Ukupno","2009","Osjeèko-baranjska županija","Svega",307753
"Ukupno","2009","Osjeèko-baranjska županija","Muškarci",147965
"Ukupno","2009","Osjeèko-baranjska županija","Žene",159788
"Ukupno","2009","Šibensko-kninska županija","Svega",111375
"Ukupno","2009","Šibensko-kninska županija","Muškarci",54584
"Ukupno","2009","Šibensko-kninska županija","Žene",56791
"Ukupno","2009","Vukovarsko-srijemska županija","Svega",183057
"Ukupno","2009","Vukovarsko-srijemska županija","Muškarci",88291
"Ukupno","2009","Vukovarsko-srijemska županija","Žene",94766
"Ukupno","2009","Splitsko-dalmatinska županija","Svega",454763
"Ukupno","2009","Splitsko-dalmatinska županija","Muškarci",221353
"Ukupno","2009","Splitsko-dalmatinska županija","Žene",233410
"Ukupno","2009","Istarska županija","Svega",208441
"Ukupno","2009","Istarska županija","Muškarci",101668
"Ukupno","2009","Istarska županija","Žene",106773
"Ukupno","2009","Dubrovaèko-neretvanska županija","Svega",122308
"Ukupno","2009","Dubrovaèko-neretvanska županija","Muškarci",59423
"Ukupno","2009","Dubrovaèko-neretvanska županija","Žene",62885
"Ukupno","2009","Meðimurska županija","Svega",113791
"Ukupno","2009","Meðimurska županija","Muškarci",55549
"Ukupno","2009","Meðimurska županija","Žene",58242
"Ukupno","2009","Grad Zagreb","Svega",785506
"Ukupno","2009","Grad Zagreb","Muškarci",367239
"Ukupno","2009","Grad Zagreb","Žene",418267
"Ukupno","2010","Zagrebaèka županija","Svega",316965
"Ukupno","2010","Zagrebaèka županija","Muškarci",153538
"Ukupno","2010","Zagrebaèka županija","Žene",163427
"Ukupno","2010","Krapinsko-zagorska županija","Svega",133285
"Ukupno","2010","Krapinsko-zagorska županija","Muškarci",64812
"Ukupno","2010","Krapinsko-zagorska županija","Žene",68473
"Ukupno","2010","Sisaèko-moslavaèka županija","Svega",174359
"Ukupno","2010","Sisaèko-moslavaèka županija","Muškarci",84479
"Ukupno","2010","Sisaèko-moslavaèka županija","Žene",89880
"Ukupno","2010","Karlovaèka županija","Svega",129944
"Ukupno","2010","Karlovaèka županija","Muškarci",62843
"Ukupno","2010","Karlovaèka županija","Žene",67101
"Ukupno","2010","Varaždinska županija","Svega",176448
"Ukupno","2010","Varaždinska županija","Muškarci",85841
"Ukupno","2010","Varaždinska županija","Žene",90607
"Ukupno","2010","Koprivnièko-križevaèka županija","Svega",116140
"Ukupno","2010","Koprivnièko-križevaèka županija","Muškarci",56200
"Ukupno","2010","Koprivnièko-križevaèka županija","Žene",59940
"Ukupno","2010","Bjelovarsko-bilogorska županija","Svega",120742
"Ukupno","2010","Bjelovarsko-bilogorska županija","Muškarci",58532
"Ukupno","2010","Bjelovarsko-bilogorska županija","Žene",62210
"Ukupno","2010","Primorsko-goranska županija","Svega",296732
"Ukupno","2010","Primorsko-goranska županija","Muškarci",143434
"Ukupno","2010","Primorsko-goranska županija","Žene",153298
"Ukupno","2010","Lièko-senjska županija","Svega",51464
"Ukupno","2010","Lièko-senjska županija","Muškarci",25644
"Ukupno","2010","Lièko-senjska županija","Žene",25820
"Ukupno","2010","Virovitièko-podravska županija","Svega",85443
"Ukupno","2010","Virovitièko-podravska županija","Muškarci",41285
"Ukupno","2010","Virovitièko-podravska županija","Žene",44158
"Ukupno","2010","Požeško-slavonska županija","Svega",78683
"Ukupno","2010","Požeško-slavonska županija","Muškarci",38103
"Ukupno","2010","Požeško-slavonska županija","Žene",40580
"Ukupno","2010","Brodsko-posavska županija","Svega",159555
"Ukupno","2010","Brodsko-posavska županija","Muškarci",77499
"Ukupno","2010","Brodsko-posavska županija","Žene",82056
"Ukupno","2010","Zadarska županija","Svega",169411
"Ukupno","2010","Zadarska županija","Muškarci",83245
"Ukupno","2010","Zadarska županija","Žene",86166
"Ukupno","2010","Osjeèko-baranjska županija","Svega",306398
"Ukupno","2010","Osjeèko-baranjska županija","Muškarci",147472
"Ukupno","2010","Osjeèko-baranjska županija","Žene",158926
"Ukupno","2010","Šibensko-kninska županija","Svega",110262
"Ukupno","2010","Šibensko-kninska županija","Muškarci",54054
"Ukupno","2010","Šibensko-kninska županija","Žene",56208
"Ukupno","2010","Vukovarsko-srijemska županija","Svega",181148
"Ukupno","2010","Vukovarsko-srijemska županija","Muškarci",87423
"Ukupno","2010","Vukovarsko-srijemska županija","Žene",93725
"Ukupno","2010","Splitsko-dalmatinska županija","Svega",454824
"Ukupno","2010","Splitsko-dalmatinska županija","Muškarci",221371
"Ukupno","2010","Splitsko-dalmatinska županija","Žene",233453
"Ukupno","2010","Istarska županija","Svega",208620
"Ukupno","2010","Istarska županija","Muškarci",101629
"Ukupno","2010","Istarska županija","Žene",106991
"Ukupno","2010","Dubrovaèko-neretvanska županija","Svega",122596
"Ukupno","2010","Dubrovaèko-neretvanska županija","Muškarci",59642
"Ukupno","2010","Dubrovaèko-neretvanska županija","Žene",62954
"Ukupno","2010","Meðimurska županija","Svega",113851
"Ukupno","2010","Meðimurska županija","Muškarci",55594
"Ukupno","2010","Meðimurska županija","Žene",58257
"Ukupno","2010","Grad Zagreb","Svega",788557
"Ukupno","2010","Grad Zagreb","Muškarci",368555
"Ukupno","2010","Grad Zagreb","Žene",420002
"Ukupno","2011","Zagrebaèka županija","Svega",317594
"Ukupno","2011","Zagrebaèka županija","Muškarci",153874
"Ukupno","2011","Zagrebaèka županija","Žene",163720
"Ukupno","2011","Krapinsko-zagorska županija","Svega",132672
"Ukupno","2011","Krapinsko-zagorska županija","Muškarci",64554
"Ukupno","2011","Krapinsko-zagorska županija","Žene",68118
"Ukupno","2011","Sisaèko-moslavaèka županija","Svega",171725
"Ukupno","2011","Sisaèko-moslavaèka županija","Muškarci",83289
"Ukupno","2011","Sisaèko-moslavaèka županija","Žene",88436
"Ukupno","2011","Karlovaèka županija","Svega",128495
"Ukupno","2011","Karlovaèka županija","Muškarci",62162
"Ukupno","2011","Karlovaèka županija","Žene",66333
"Ukupno","2011","Varaždinska županija","Svega",175771
"Ukupno","2011","Varaždinska županija","Muškarci",85549
"Ukupno","2011","Varaždinska županija","Žene",90222
"Ukupno","2011","Koprivnièko-križevaèka županija","Svega",115424
"Ukupno","2011","Koprivnièko-križevaèka županija","Muškarci",55898
"Ukupno","2011","Koprivnièko-križevaèka županija","Žene",59526
"Ukupno","2011","Bjelovarsko-bilogorska županija","Svega",119448
"Ukupno","2011","Bjelovarsko-bilogorska županija","Muškarci",57984
"Ukupno","2011","Bjelovarsko-bilogorska županija","Žene",61464
"Ukupno","2011","Primorsko-goranska županija","Svega",296004
"Ukupno","2011","Primorsko-goranska županija","Muškarci",142978
"Ukupno","2011","Primorsko-goranska županija","Žene",153026
"Ukupno","2011","Lièko-senjska županija","Svega",50697
"Ukupno","2011","Lièko-senjska županija","Muškarci",25244
"Ukupno","2011","Lièko-senjska županija","Žene",25453
"Ukupno","2011","Virovitièko-podravska županija","Svega",84621
"Ukupno","2011","Virovitièko-podravska županija","Muškarci",40916
"Ukupno","2011","Virovitièko-podravska županija","Žene",43705
"Ukupno","2011","Požeško-slavonska županija","Svega",77775
"Ukupno","2011","Požeško-slavonska županija","Muškarci",37746
"Ukupno","2011","Požeško-slavonska županija","Žene",40029
"Ukupno","2011","Brodsko-posavska županija","Svega",158249
"Ukupno","2011","Brodsko-posavska županija","Muškarci",76964
"Ukupno","2011","Brodsko-posavska županija","Žene",81285
"Ukupno","2011","Zadarska županija","Svega",170212
"Ukupno","2011","Zadarska županija","Muškarci",83607
"Ukupno","2011","Zadarska županija","Žene",86605
"Ukupno","2011","Osjeèko-baranjska županija","Svega",304541
"Ukupno","2011","Osjeèko-baranjska županija","Muškarci",146686
"Ukupno","2011","Osjeèko-baranjska županija","Žene",157855
"Ukupno","2011","Šibensko-kninska županija","Svega",109072
"Ukupno","2011","Šibensko-kninska županija","Muškarci",53426
"Ukupno","2011","Šibensko-kninska županija","Žene",55646
"Ukupno","2011","Vukovarsko-srijemska županija","Svega",178959
"Ukupno","2011","Vukovarsko-srijemska županija","Muškarci",86425
"Ukupno","2011","Vukovarsko-srijemska županija","Žene",92534
"Ukupno","2011","Splitsko-dalmatinska županija","Svega",454683
"Ukupno","2011","Splitsko-dalmatinska županija","Muškarci",221196
"Ukupno","2011","Splitsko-dalmatinska županija","Žene",233487
"Ukupno","2011","Istarska županija","Svega",208028
"Ukupno","2011","Istarska županija","Muškarci",101165
"Ukupno","2011","Istarska županija","Žene",106863
"Ukupno","2011","Dubrovaèko-neretvanska županija","Svega",122456
"Ukupno","2011","Dubrovaèko-neretvanska županija","Muškarci",59585
"Ukupno","2011","Dubrovaèko-neretvanska županija","Žene",62871
"Ukupno","2011","Meðimurska županija","Svega",113746
"Ukupno","2011","Meðimurska županija","Muškarci",55567
"Ukupno","2011","Meðimurska županija","Žene",58179
"Ukupno","2011","Grad Zagreb","Svega",790450
"Ukupno","2011","Grad Zagreb","Muškarci",369499
"Ukupno","2011","Grad Zagreb","Žene",420951
"Ukupno","2012","Zagrebaèka županija","Svega",318235
"Ukupno","2012","Zagrebaèka županija","Muškarci",154335
"Ukupno","2012","Zagrebaèka županija","Žene",163900
"Ukupno","2012","Krapinsko-zagorska županija","Svega",131734
"Ukupno","2012","Krapinsko-zagorska županija","Muškarci",64116
"Ukupno","2012","Krapinsko-zagorska županija","Žene",67618
"Ukupno","2012","Sisaèko-moslavaèka županija","Svega",169379
"Ukupno","2012","Sisaèko-moslavaèka županija","Muškarci",82203
"Ukupno","2012","Sisaèko-moslavaèka županija","Žene",87176
"Ukupno","2012","Karlovaèka županija","Svega",126997
"Ukupno","2012","Karlovaèka županija","Muškarci",61462
"Ukupno","2012","Karlovaèka županija","Žene",65535
"Ukupno","2012","Varaždinska županija","Svega",175150
"Ukupno","2012","Varaždinska županija","Muškarci",85256
"Ukupno","2012","Varaždinska županija","Žene",89894
"Ukupno","2012","Koprivnièko-križevaèka županija","Svega",114846
"Ukupno","2012","Koprivnièko-križevaèka županija","Muškarci",55605
"Ukupno","2012","Koprivnièko-križevaèka županija","Žene",59241
"Ukupno","2012","Bjelovarsko-bilogorska županija","Svega",118083
"Ukupno","2012","Bjelovarsko-bilogorska županija","Muškarci",57435
"Ukupno","2012","Bjelovarsko-bilogorska županija","Žene",60648
"Ukupno","2012","Primorsko-goranska županija","Svega",295300
"Ukupno","2012","Primorsko-goranska županija","Muškarci",142678
"Ukupno","2012","Primorsko-goranska županija","Žene",152622
"Ukupno","2012","Lièko-senjska županija","Svega",49942
"Ukupno","2012","Lièko-senjska županija","Muškarci",24861
"Ukupno","2012","Lièko-senjska županija","Žene",25081
"Ukupno","2012","Virovitièko-podravska županija","Svega",83820
"Ukupno","2012","Virovitièko-podravska županija","Muškarci",40612
"Ukupno","2012","Virovitièko-podravska županija","Žene",43208
"Ukupno","2012","Požeško-slavonska županija","Svega",76651
"Ukupno","2012","Požeško-slavonska županija","Muškarci",37294
"Ukupno","2012","Požeško-slavonska županija","Žene",39357
"Ukupno","2012","Brodsko-posavska županija","Svega",157086
"Ukupno","2012","Brodsko-posavska županija","Muškarci",76408
"Ukupno","2012","Brodsko-posavska županija","Žene",80678
"Ukupno","2012","Zadarska županija","Svega",170955
"Ukupno","2012","Zadarska županija","Muškarci",83911
"Ukupno","2012","Zadarska županija","Žene",87044
"Ukupno","2012","Osjeèko-baranjska županija","Svega",302751
"Ukupno","2012","Osjeèko-baranjska županija","Muškarci",145878
"Ukupno","2012","Osjeèko-baranjska županija","Žene",156873
"Ukupno","2012","Šibensko-kninska županija","Svega",107595
"Ukupno","2012","Šibensko-kninska županija","Muškarci",52734
"Ukupno","2012","Šibensko-kninska županija","Žene",54861
"Ukupno","2012","Vukovarsko-srijemska županija","Svega",177583
"Ukupno","2012","Vukovarsko-srijemska županija","Muškarci",85823
"Ukupno","2012","Vukovarsko-srijemska županija","Žene",91760
"Ukupno","2012","Splitsko-dalmatinska županija","Svega",454777
"Ukupno","2012","Splitsko-dalmatinska županija","Muškarci",221307
"Ukupno","2012","Splitsko-dalmatinska županija","Žene",233470
"Ukupno","2012","Istarska županija","Svega",207719
"Ukupno","2012","Istarska županija","Muškarci",100960
"Ukupno","2012","Istarska županija","Žene",106759
"Ukupno","2012","Dubrovaèko-neretvanska županija","Svega",122337
"Ukupno","2012","Dubrovaèko-neretvanska županija","Muškarci",59549
"Ukupno","2012","Dubrovaèko-neretvanska županija","Žene",62788
"Ukupno","2012","Meðimurska županija","Svega",113561
"Ukupno","2012","Meðimurska županija","Muškarci",55541
"Ukupno","2012","Meðimurska županija","Žene",58020
"Ukupno","2012","Grad Zagreb","Svega",793057
"Ukupno","2012","Grad Zagreb","Muškarci",370733
"Ukupno","2012","Grad Zagreb","Žene",422324
"Ukupno","2013","Zagrebaèka županija","Svega",318837
"Ukupno","2013","Zagrebaèka županija","Muškarci",154702
"Ukupno","2013","Zagrebaèka županija","Žene",164135
"Ukupno","2013","Krapinsko-zagorska županija","Svega",130895
"Ukupno","2013","Krapinsko-zagorska županija","Muškarci",63727
"Ukupno","2013","Krapinsko-zagorska županija","Žene",67168
"Ukupno","2013","Sisaèko-moslavaèka županija","Svega",167036
"Ukupno","2013","Sisaèko-moslavaèka županija","Muškarci",81217
"Ukupno","2013","Sisaèko-moslavaèka županija","Žene",85819
"Ukupno","2013","Karlovaèka županija","Svega",125688
"Ukupno","2013","Karlovaèka županija","Muškarci",60860
"Ukupno","2013","Karlovaèka županija","Žene",64828
"Ukupno","2013","Varaždinska županija","Svega",174434
"Ukupno","2013","Varaždinska županija","Muškarci",84904
"Ukupno","2013","Varaždinska županija","Žene",89530
"Ukupno","2013","Koprivnièko-križevaèka županija","Svega",114346
"Ukupno","2013","Koprivnièko-križevaèka županija","Muškarci",55451
"Ukupno","2013","Koprivnièko-križevaèka županija","Žene",58895
"Ukupno","2013","Bjelovarsko-bilogorska županija","Svega",116959
"Ukupno","2013","Bjelovarsko-bilogorska županija","Muškarci",56936
"Ukupno","2013","Bjelovarsko-bilogorska županija","Žene",60023
"Ukupno","2013","Primorsko-goranska županija","Svega",294705
"Ukupno","2013","Primorsko-goranska županija","Muškarci",142276
"Ukupno","2013","Primorsko-goranska županija","Žene",152429
"Ukupno","2013","Lièko-senjska županija","Svega",49364
"Ukupno","2013","Lièko-senjska županija","Muškarci",24559
"Ukupno","2013","Lièko-senjska županija","Žene",24805
"Ukupno","2013","Virovitièko-podravska županija","Svega",83029
"Ukupno","2013","Virovitièko-podravska županija","Muškarci",40261
"Ukupno","2013","Virovitièko-podravska županija","Žene",42768
"Ukupno","2013","Požeško-slavonska županija","Svega",75801
"Ukupno","2013","Požeško-slavonska županija","Muškarci",36977
"Ukupno","2013","Požeško-slavonska županija","Žene",38824
"Ukupno","2013","Brodsko-posavska županija","Svega",155956
"Ukupno","2013","Brodsko-posavska županija","Muškarci",75900
"Ukupno","2013","Brodsko-posavska županija","Žene",80056
"Ukupno","2013","Zadarska županija","Svega",171594
"Ukupno","2013","Zadarska županija","Muškarci",84277
"Ukupno","2013","Zadarska županija","Žene",87317
"Ukupno","2013","Osjeèko-baranjska županija","Svega",300950
"Ukupno","2013","Osjeèko-baranjska županija","Muškarci",145066
"Ukupno","2013","Osjeèko-baranjska županija","Žene",155884
"Ukupno","2013","Šibensko-kninska županija","Svega",106540
"Ukupno","2013","Šibensko-kninska županija","Muškarci",52267
"Ukupno","2013","Šibensko-kninska županija","Žene",54273
"Ukupno","2013","Vukovarsko-srijemska županija","Svega",175932
"Ukupno","2013","Vukovarsko-srijemska županija","Muškarci",85105
"Ukupno","2013","Vukovarsko-srijemska županija","Žene",90827
"Ukupno","2013","Splitsko-dalmatinska županija","Svega",454711
"Ukupno","2013","Splitsko-dalmatinska županija","Muškarci",221286
"Ukupno","2013","Splitsko-dalmatinska županija","Žene",233425
"Ukupno","2013","Istarska županija","Svega",207793
"Ukupno","2013","Istarska županija","Muškarci",101031
"Ukupno","2013","Istarska županija","Žene",106762
"Ukupno","2013","Dubrovaèko-neretvanska županija","Svega",122197
"Ukupno","2013","Dubrovaèko-neretvanska županija","Muškarci",59517
"Ukupno","2013","Dubrovaèko-neretvanska županija","Žene",62680
"Ukupno","2013","Meðimurska županija","Svega",113417
"Ukupno","2013","Meðimurska županija","Muškarci",55524
"Ukupno","2013","Meðimurska županija","Žene",57893
"Ukupno","2013","Grad Zagreb","Svega",795505
"Ukupno","2013","Grad Zagreb","Muškarci",371945
"Ukupno","2013","Grad Zagreb","Žene",423560
